source,Target,Weight
Brazil,Rep. of Korea,15
Brazil,Spain,801
Brazil,Sweden,28
Brazil,Switzerland,8
Brazil,United Kingdom of Great Britain and Northern Ireland,226
Brazil,United States of America,4986
Brazil,Uruguay,5
Brunei Darussalam,Australia,5
Bulgaria,Belgium,5
Bulgaria,Germany,7
Bulgaria,Poland,5
Bulgaria,United States of America,38
Burkina Faso,Algeria,5
Burkina Faso,Belgium,30
Burkina Faso,Brazil,16
Burkina Faso,Cameroon,12
Burkina Faso,Canada,31
Burkina Faso,Costa Rica,5
Burkina Faso,Cote d'Ivoire,5
Burkina Faso,France,304
Burkina Faso,Germany,84
Burkina Faso,Greece,28
Burkina Faso,Italy,90
Burkina Faso,Liberia,5
Burkina Faso,Libya,5
Burkina Faso,Malta,10
Burkina Faso,Mauritania,14
Burkina Faso,Mexico,15
Burkina Faso,Morocco,17
Burkina Faso,Netherlands,13
Burkina Faso,Rep. of Korea,6
Burkina Faso,Spain,47
Burkina Faso,Sweden,10
Burkina Faso,Switzerland,6
Burkina Faso,Tunisia,36
Burkina Faso,United Kingdom of Great Britain and Northern Ireland,5
Burkina Faso,United States of America,212
Burundi,Australia,5
Burundi,Belgium,332
Burundi,Canada,115
Burundi,Comoros,14
Burundi,Costa Rica,6
Burundi,Cyprus,5
Burundi,Egypt,13
Burundi,Eswatini,14
Burundi,Ethiopia,6
Burundi,France,458
Burundi,Germany,15
Burundi,Greece,22
Burundi,Italy,5
Burundi,Kenya,1559
Burundi,Malawi,851
Burundi,Morocco,5
Burundi,Mozambique,393
Burundi,Namibia,53
Burundi,Netherlands,13
Burundi,Rep. of Korea,6
Burundi,Rwanda,5
Burundi,Serbia and Kosovo: S/RES/1244 (1999),17
Burundi,South Africa,234
Burundi,South Sudan,60
Burundi,Sweden,55
Burundi,Switzerland,34
Burundi,Tunisia,7
Burundi,Uganda,3726
Burundi,United Kingdom of Great Britain and Northern Ireland,12
Burundi,United Rep. of Tanzania,7
Burundi,United States of America,64
Burundi,Zambia,1348
Burundi,Zimbabwe,34
Cabo Verde,Brazil,17
Cabo Verde,United States of America,5
Cambodia,Australia,151
Cambodia,Bahamas,6
Cambodia,Canada,14
Cambodia,France,69
Cambodia,Germany,6
Cambodia,Malaysia,5
Cambodia,Rep. of Korea,27
Cambodia,Switzerland,5
Cambodia,Thailand,85
Cambodia,United States of America,32
Cameroon,Algeria,189
Cameroon,Australia,13
Cameroon,Austria,23
Cameroon,Belarus,8
Cameroon,Belgium,341
Cameroon,Benin,17
Cameroon,Bosnia and Herzegovina,8
Cameroon,Brazil,22
Cameroon,Canada,144
Cameroon,Chad,6
Cameroon,China,168
Cameroon,Congo,5
